epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.403028,0.6243,1.58489,1.01302,0.68416,0.87554,0.65519,0.55885,0.67178,2.20675,0.86527,1.111e-05,1.111e-05,1.111e-05
2,0.829698,0.59672,1.42998,0.97895,0.68483,0.87246,0.65423,0.55927,0.66679,2.22566,0.86309,3.3e-05,3.3e-05,3.3e-05
3,1.15622,0.56377,1.29913,0.99151,0.6802,0.88108,0.65743,0.54604,0.65938,2.07963,0.8526,5.44501e-05,5.44501e-05,5.44501e-05
4,1.89816,0.60403,1.45955,0.93684,0.63395,0.88333,0.66108,0.5543,0.70169,1.84612,0.87231,7.54602e-05,7.54602e-05,7.54602e-05
5,2.30333,0.67968,1.43278,0.97576,0.61193,0.88333,0.64402,0.53995,0.70739,1.84232,0.87398,9.60304e-05,9.60304e-05,9.60304e-05
6,2.70909,0.71494,1.43777,1.06097,0.59384,0.88333,0.65378,0.5377,0.72939,1.99009,0.87831,0.000116161,0.000116161,0.000116161
7,3.10389,0.645,1.40236,1.028,0.59372,0.88333,0.64465,0.5056,0.75461,2.16442,0.88356,0.000135851,0.000135851,0.000135851
8,3.51033,0.59731,1.44677,0.988,0.60086,0.88034,0.63391,0.4664,0.8047,2.48274,0.90335,0.000155101,0.000155101,0.000155101
9,3.9027,0.52159,1.25595,0.971,0.59962,0.87489,0.63398,0.47804,0.81011,2.53818,0.89747,0.000173911,0.000173911,0.000173911
10,4.29743,0.66323,1.49863,1.01065,0.59273,0.8722,0.63468,0.47853,0.78807,2.46615,0.88331,0.000192282,0.000192282,0.000192282
11,4.66776,0.63945,1.49361,0.98725,0.59108,0.84058,0.62547,0.50944,0.7617,2.38602,0.86852,0.000210212,0.000210212,0.000210212
12,5.15724,0.59655,1.30253,0.94892,0.57822,0.84167,0.64165,0.53548,0.73791,2.36231,0.86028,0.000227703,0.000227703,0.000227703
13,5.54299,0.56166,1.31858,0.96477,0.57108,0.84167,0.64063,0.55605,0.70425,2.32162,0.84697,0.000244753,0.000244753,0.000244753
14,5.92867,0.58118,1.29941,0.94747,0.63281,0.83951,0.6803,0.56169,0.68438,2.20461,0.83439,0.000261364,0.000261364,0.000261364
15,6.3117,0.62007,1.36136,0.93951,0.55072,0.90572,0.71609,0.60355,0.66977,2.07063,0.82603,0.000277534,0.000277534,0.000277534
16,6.71653,0.58668,1.33502,0.94138,0.55279,0.88333,0.67164,0.56857,0.68834,1.92522,0.82518,0.000293265,0.000293265,0.000293265
17,7.09881,0.63688,1.25234,1.00811,0.55904,0.88333,0.66072,0.52446,0.77969,1.87242,0.86287,0.000308556,0.000308556,0.000308556
18,7.48371,0.55272,1.58675,0.95832,0.59988,0.88333,0.63794,0.49903,0.91746,1.83486,0.93472,0.000323407,0.000323407,0.000323407
19,7.95456,0.58397,1.27384,0.94169,0.61156,0.88333,0.64838,0.48266,0.94494,1.87183,0.9596,0.000337817,0.000337817,0.000337817
20,8.34522,0.59745,1.37075,0.95211,0.6187,0.88072,0.64515,0.49299,0.85778,1.96941,0.93628,0.000351788,0.000351788,0.000351788
21,8.72043,0.52487,1.29512,0.94447,0.59591,0.83733,0.64154,0.51027,0.81537,2.04981,0.94428,0.000365319,0.000365319,0.000365319
22,9.10726,0.57209,1.29117,0.91521,0.65592,0.83505,0.66478,0.51183,0.78332,2.12421,0.95052,0.00037841,0.00037841,0.00037841
23,9.47655,0.61379,1.35033,0.96216,0.62647,0.86694,0.66555,0.53156,0.74486,2.15329,0.93069,0.000391061,0.000391061,0.000391061
24,9.86774,0.55628,1.19807,0.89319,0.6272,0.87149,0.66444,0.55624,0.70008,2.11797,0.90644,0.000403272,0.000403272,0.000403272
25,10.2448,0.56452,1.31097,0.95859,0.5947,0.88333,0.64684,0.54326,0.7026,2.10406,0.90621,0.000415043,0.000415043,0.000415043
26,10.6383,0.56417,1.36384,0.94901,0.60601,0.83221,0.63901,0.55696,0.70405,2.1467,0.90758,0.000426374,0.000426374,0.000426374
27,11.1055,0.60869,1.37933,0.9218,0.5767,0.55,0.60514,0.51802,0.6949,2.14703,0.89479,0.000437265,0.000437265,0.000437265
28,11.4722,0.60446,1.34462,0.94864,0.5767,0.55,0.60514,0.51802,0.6949,2.14703,0.89479,0.000447716,0.000447716,0.000447716
29,11.8416,0.53267,1.32014,0.95195,0.54975,0.55,0.57266,0.50185,0.6667,2.11956,0.89516,0.000457728,0.000457728,0.000457728
30,12.2202,0.56192,1.21011,0.95694,0.57909,0.8,0.60841,0.54391,0.64537,1.98894,0.88146,0.000467299,0.000467299,0.000467299
31,12.5791,0.62755,1.32143,0.94407,0.57909,0.8,0.60841,0.54391,0.64537,1.98894,0.88146,0.00047643,0.00047643,0.00047643
