epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33438,1.20177,4.44354,1.18282,0.00288,0.93569,0.22452,0.13732,0.78112,3.52384,0.93517,0.00017148,0.00017148,0.00017148
2,5.01846,1.13737,3.4662,1.23028,0.00378,0.91304,0.34531,0.20922,0.886,3.59795,1.07796,0.000355482,0.000355482,0.000355482
3,6.72601,1.14725,3.21642,1.28172,0.00248,0.54429,0.12552,0.06058,1.21387,3.88041,1.19719,0.000537644,0.000537644,0.000537644
4,8.45929,1.12928,3.07977,1.26096,0.00407,0.71219,0.2903,0.14807,1.12307,3.71216,1.25929,0.000717967,0.000717967,0.000717967
5,10.0206,1.22904,3.25884,1.33052,0.00277,0.73484,0.22006,0.1109,1.29758,3.63287,1.32972,0.000896452,0.000896452,0.000896452
6,11.5995,1.21642,3.03023,1.3911,0.75081,0.04167,0.20193,0.13003,1.2442,3.50599,1.61058,0.0010731,0.0010731,0.0010731
7,13.1079,1.26692,2.71969,1.3104,0.6771,0.31089,0.39382,0.21546,1.37373,3.27742,1.63841,0.0012479,0.0012479,0.0012479
8,14.6284,1.25661,2.63657,1.32863,0.65587,0.54183,0.54124,0.26633,1.25343,3.35276,1.54232,0.00137949,0.00137949,0.00137949
9,16.1933,1.15611,2.51077,1.30797,0.38512,0.5654,0.41188,0.26285,1.12516,21.0001,1.34558,0.00137241,0.00137241,0.00137241
10,17.6922,1.18805,2.46877,1.30333,0.43878,0.59011,0.40147,0.23301,1.21064,3.98402,1.5872,0.00136534,0.00136534,0.00136534
11,19.178,1.19178,2.41275,1.3314,0.39179,0.54843,0.48868,0.30227,1.12745,2.78501,1.46741,0.00135826,0.00135826,0.00135826
12,20.8222,1.26172,2.4141,1.32631,0.63451,0.74786,0.73708,0.46633,1.16318,2.39596,1.44914,0.00135119,0.00135119,0.00135119
13,22.2984,1.1703,2.22895,1.27669,0.59228,0.7173,0.61602,0.40636,1.31085,2.98991,1.98667,0.00134412,0.00134412,0.00134412
14,23.7539,1.16984,2.14418,1.267,0.58838,0.71626,0.67229,0.40644,1.33736,2.19989,1.60713,0.00133704,0.00133704,0.00133704
15,25.239,1.20502,2.11489,1.32236,0.62427,0.75003,0.70197,0.43023,1.36018,2.29325,1.61778,0.00132997,0.00132997,0.00132997
16,26.7211,1.09345,2.02814,1.24171,0.74333,0.64652,0.77508,0.48255,1.09706,2.12294,1.46189,0.0013229,0.0013229,0.0013229
17,28.1911,1.10785,2.0955,1.27281,0.79808,0.66726,0.76557,0.4523,1.09484,1.99862,1.40271,0.00131582,0.00131582,0.00131582
18,29.6766,1.11274,1.76491,1.27057,0.74909,0.46162,0.60306,0.37513,1.07758,2.31739,1.40412,0.00130875,0.00130875,0.00130875
19,31.2754,1.142,1.95914,1.29571,0.70143,0.79891,0.74577,0.52245,1.01579,1.77188,1.24691,0.00130168,0.00130168,0.00130168
20,32.7717,1.09452,1.68604,1.23893,0.83177,0.83381,0.84117,0.55767,1.04782,1.53086,1.27828,0.0012946,0.0012946,0.0012946
21,34.2765,1.09995,1.79616,1.23766,0.86919,0.74826,0.8519,0.5613,1.09166,1.55132,1.33939,0.00128753,0.00128753,0.00128753
