epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3043,1.20177,4.44354,1.18282,0.00288,0.93569,0.22452,0.13732,0.78112,3.52384,0.93517,0.00017148,0.00017148,0.00017148
2,16.7273,1.15643,3.46865,1.24006,0.00372,0.88101,0.29463,0.16904,0.86031,3.61813,1.06022,0.000353713,0.000353713,0.000353713
3,18.1515,1.10617,3.11053,1.26999,0.00422,0.77017,0.22306,0.10155,1.10344,3.82354,1.26995,0.000532268,0.000532268,0.000532268
4,19.5694,1.12178,3.09038,1.27648,0.00321,0.74785,0.25317,0.15996,1.26775,3.73435,1.33104,0.000707145,0.000707145,0.000707145
5,20.9574,1.15077,3.00005,1.31982,0.79378,0.0625,0.19763,0.10626,1.19256,3.52931,1.39801,0.000878343,0.000878343,0.000878343
6,22.3105,1.14617,2.94022,1.39629,0.8116,0.1875,0.3008,0.18954,1.10776,3.33324,1.40696,0.00104586,0.00104586,0.00104586
7,23.6487,1.18606,2.74805,1.32386,0.80632,0.125,0.26975,0.14475,1.23522,3.37385,1.62009,0.00120971,0.00120971,0.00120971
8,24.9779,1.2303,2.65892,1.31422,0.67846,0.38128,0.43341,0.23849,1.43815,3.73381,1.62674,0.00132997,0.00132997,0.00132997
9,26.3349,1.15969,2.48718,1.33166,0.5336,0.48806,0.42659,0.2222,1.32869,2.9254,1.58529,0.00131582,0.00131582,0.00131582
10,27.6086,1.22181,2.58329,1.31509,0.51601,0.47552,0.48912,0.24344,1.23596,3.29518,1.51374,0.00130168,0.00130168,0.00130168
11,28.8933,1.18372,2.51069,1.31582,0.57651,0.60543,0.53222,0.30014,1.31029,2.88719,1.57915,0.00128753,0.00128753,0.00128753
12,30.2051,1.30396,2.52289,1.39773,0.47948,0.6384,0.54163,0.31871,1.47693,3.09862,1.82268,0.00127338,0.00127338,0.00127338
13,31.507,1.19471,2.26558,1.28192,0.24885,0.57566,0.24046,0.14843,1.38463,26.8377,1.71296,0.00125923,0.00125923,0.00125923
14,32.7802,1.14556,2.15418,1.28931,0.36821,0.56362,0.37126,0.21536,1.41595,3.85657,1.73321,0.00124509,0.00124509,0.00124509
15,34.0433,1.17682,2.12759,1.32719,0.70173,0.7032,0.68627,0.44365,1.16565,2.24697,1.39572,0.00123094,0.00123094,0.00123094
16,35.3437,1.1053,2.04235,1.25545,0.6882,0.68108,0.73117,0.43072,1.22535,2.50273,1.56183,0.00121679,0.00121679,0.00121679
17,36.6095,1.1253,1.98442,1.3052,0.80554,0.66887,0.78541,0.51253,1.1006,1.91807,1.35576,0.00120265,0.00120265,0.00120265
18,37.8934,1.14676,1.81273,1.31898,0.68299,0.81384,0.81343,0.52629,1.06028,1.89438,1.36387,0.0011885,0.0011885,0.0011885
19,39.1916,1.14751,2.00713,1.30113,0.73291,0.71409,0.81291,0.5093,1.02036,2.53778,1.36719,0.00117435,0.00117435,0.00117435
20,40.4866,1.08432,1.74419,1.23993,0.62551,0.70794,0.72791,0.44753,0.99462,2.12515,1.30682,0.00116021,0.00116021,0.00116021
21,41.7742,1.04326,1.77932,1.23327,0.53184,0.82814,0.72614,0.46755,1.11919,2.19767,1.40126,0.00114606,0.00114606,0.00114606
22,43.0438,1.03626,1.6419,1.24741,0.80826,0.71606,0.81769,0.5435,1.11448,1.8001,1.44079,0.00113191,0.00113191,0.00113191
23,44.3157,1.0027,1.54241,1.2036,0.70277,0.71525,0.75911,0.48771,1.10071,1.59805,1.3564,0.00111776,0.00111776,0.00111776
24,45.5943,1.08212,1.57137,1.27154,0.81749,0.77315,0.8672,0.60252,0.98861,1.32496,1.25555,0.00110362,0.00110362,0.00110362
25,46.8703,0.99786,1.4559,1.22927,0.82697,0.76068,0.8402,0.55715,1.03054,1.48996,1.2636,0.00108947,0.00108947,0.00108947
26,48.1419,0.94613,1.45913,1.22803,0.85822,0.7954,0.86589,0.60817,0.87691,1.17809,1.17596,0.00107532,0.00107532,0.00107532
27,49.4133,1.07889,1.41354,1.27471,0.86748,0.81244,0.86821,0.58138,1.11116,1.13101,1.33292,0.00106118,0.00106118,0.00106118
28,50.6871,1.07976,1.54053,1.27141,0.79021,0.79311,0.82686,0.57098,1.04824,1.15832,1.30811,0.00104703,0.00104703,0.00104703
29,51.9682,0.95835,1.35431,1.15502,0.80914,0.79081,0.84688,0.59273,1.01093,1.06917,1.2915,0.00103288,0.00103288,0.00103288
30,53.2522,1.03739,1.43062,1.21514,0.86393,0.79315,0.84686,0.59326,0.97965,1.00742,1.25808,0.00101873,0.00101873,0.00101873
31,54.5717,1.02135,1.38276,1.26584,0.77353,0.79257,0.85099,0.6148,0.92445,1.04335,1.2259,0.00100459,0.00100459,0.00100459
32,55.8866,0.92388,1.25531,1.20063,0.72524,0.85885,0.82828,0.55877,0.9551,1.13444,1.19947,0.00099044,0.00099044,0.00099044
33,57.1858,0.98158,1.30903,1.14951,0.63722,0.87162,0.82644,0.5076,1.11894,1.52158,1.22989,0.000976293,0.000976293,0.000976293
34,58.4845,0.97215,1.26058,1.18486,0.82069,0.78746,0.82812,0.57143,0.9604,1.09788,1.17822,0.000962146,0.000962146,0.000962146
35,59.7648,0.86657,1.21473,1.1404,0.7505,0.90714,0.84649,0.62579,0.85464,1.09049,1.1338,0.000947999,0.000947999,0.000947999
36,61.0949,0.96069,1.21941,1.17027,0.89497,0.7649,0.86989,0.62279,0.87938,1.03485,1.17938,0.000933851,0.000933851,0.000933851
37,62.3861,0.98648,1.23684,1.22852,0.83194,0.86199,0.86566,0.64193,0.89102,0.89433,1.17838,0.000919704,0.000919704,0.000919704
38,63.6803,0.91053,1.1918,1.1465,0.90523,0.86483,0.91514,0.68599,0.85093,0.95216,1.12658,0.000905557,0.000905557,0.000905557
