epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23.2411,0.86215,1.94337,1.08926,0.77345,0.25,0.47467,0.36327,0.78155,3.60836,0.86171,0.000547837,0.000547837,0.000547837
43,23.6189,0.79064,1.82886,1.09897,0.77345,0.25,0.47467,0.36327,0.78155,3.60836,0.86171,0.000551689,0.000551689,0.000551689
44,24.1271,0.81031,2.07877,1.04251,0.7717,0.33576,0.50224,0.39834,0.78396,3.52577,0.84471,0.000555101,0.000555101,0.000555101
45,24.5004,0.75669,1.75826,1.05044,0.7717,0.33576,0.50224,0.39834,0.78396,3.52577,0.84471,0.000558073,0.000558073,0.000558073
46,24.922,0.74314,1.8374,1.04909,0.77008,0.36433,0.43723,0.33787,0.82226,3.4428,0.88161,0.000560605,0.000560605,0.000560605
47,25.2915,0.72144,1.55404,1.05518,0.77008,0.36433,0.43723,0.33787,0.82226,3.4428,0.88161,0.000562697,0.000562697,0.000562697
48,25.6608,0.74853,1.80908,0.9521,0.6852,0.39915,0.41244,0.33614,0.7619,3.42201,0.91247,0.000564349,0.000564349,0.000564349
49,26.0204,0.73614,1.7172,1.05759,0.6852,0.39915,0.41244,0.33614,0.7619,3.42201,0.91247,0.000565561,0.000565561,0.000565561
50,26.4312,0.82091,1.77256,1.07604,0.58171,0.48333,0.42118,0.35908,0.76991,3.36838,0.92631,0.000566333,0.000566333,0.000566333
51,26.9007,0.81751,1.96472,1.05691,0.58171,0.48333,0.42118,0.35908,0.76991,3.36838,0.92631,0.000561055,0.000561055,0.000561055
52,27.2694,0.67883,1.78517,1.03397,0.72637,0.45833,0.47215,0.40754,0.74812,3.19375,0.90841,0.000550056,0.000550056,0.000550056
53,27.6491,0.64073,1.43704,0.97536,0.72637,0.45833,0.47215,0.40754,0.74812,3.19375,0.90841,0.000539057,0.000539057,0.000539057
54,28.0638,0.65456,1.59472,0.9851,0.66313,0.50833,0.46104,0.38298,0.72698,3.08366,0.88752,0.000528058,0.000528058,0.000528058
55,28.4217,0.70295,1.73864,1.04767,0.66313,0.50833,0.46104,0.38298,0.72698,3.08366,0.88752,0.000517059,0.000517059,0.000517059
56,28.7895,0.59163,1.59102,0.97116,0.54348,0.51425,0.45813,0.36738,0.79581,3.08291,0.89609,0.00050606,0.00050606,0.00050606
57,29.1443,0.71979,1.58043,1.01923,0.54348,0.51425,0.45813,0.36738,0.79581,3.08291,0.89609,0.000495062,0.000495062,0.000495062
58,29.5457,0.69259,1.55057,1.01888,0.66573,0.49149,0.46255,0.37545,0.78078,3.15563,0.89217,0.000484063,0.000484063,0.000484063
59,30.0064,0.60043,1.48505,1.00501,0.66573,0.49149,0.46255,0.37545,0.78078,3.15563,0.89217,0.000473064,0.000473064,0.000473064
60,30.3856,0.74391,1.50604,1.07874,0.74438,0.48333,0.55724,0.47056,0.70412,3.19379,0.86414,0.000462065,0.000462065,0.000462065
61,30.7651,0.69519,1.74507,1.00709,0.74438,0.48333,0.55724,0.47056,0.70412,3.19379,0.86414,0.000451066,0.000451066,0.000451066
62,31.1922,0.66714,1.50949,0.98176,0.544,0.6,0.65782,0.55683,0.71025,3.25675,0.85829,0.000440067,0.000440067,0.000440067
